Settlement Main,Settlement Alt,Area (alt-map resource sheet),Sub-Area (alt-map resource sheet),Region Code Main,Region Code Alt,Official Area,Resource Sheet Area,order,Comment,Landscape,Climates,offset,Fertility,Port level,Riverport,Irrigation,Earthquakes (not used yet),complete,Hidden resources,comment,rss done,,,,Item,Hidden resource
Saue,Saue,Arabia,Yemen,Mapharitis,Mapharitis,Arabia,Arabia,20,,Mountains,Hot Semi-arid,2,5,No port,No,River,No,OK,"Farm5, mountains, hot_semi_arid, irrigation_river",,,,,,,
Baklanaza,Baklanaza,Arabia,Hejaz,Thamoudaia,Thamoudaia,Arabia,Arabia,20,,Hills,Arid,-2,3,Needs Harbour,No,Oasis,No,OK,"Farm3, hills, arid, base_port_level_0, irrigation_oasis",,,,,,,
Tedion,,,,Masania,,Arabia,,20,Last Cut,,,,,,,,,,#N/A,,,,,,,
Badeo,Badeo,Arabia,Hejaz,Kassanitis,Kassanitis,Arabia,Arabia,20,,Desert,Arid,1,2,Needs Harbour,No,No,No,OK,"Farm2, desert, arid, base_port_level_0",,,,,,,
Ebisma,Ebisma,Arabia,Yemen,Hesperos_Adramitia,Hesperos_Adramitia,Arabia,Arabia,20,Last Cut,,,,,,,,,,#N/A,,,,,,,
Kryptos Limen,Kryptos Limen,Arabia,Oman,Libanophoria,Libanophoria,Arabia,Arabia,20,,Mountain Valley,Arid,-1,3,Trade Port,No,Aquifer,No,OK,"Farm3, mountain_valley, arid, base_port_level_1, irrigation_aquifer",,,,,,,
Kathara,Kathara,Arabia,Gherran Coast,Katharrheia,Katharrheia,Arabia,Arabia,20,,Desert,Arid,0,1,Trade Port,No,No,No,OK,"Farm1, desert, arid, base_port_level_1",,,,,,,
Thaima,,,,Notia_Sarakenia,,Arabia,,20,Missing in Alt,Desert,Arid,1,4,No port,No,Oasis,No,OK,"Farm4, desert, arid, irrigation_oasis",,,,,,,
Nagara Metropolis,,,,Iobaritaia,,Arabia,,20,Missing in Alt,Desert,Arid,0,1,No port,No,No,No,OK,"Farm1, desert, arid",,,,,,,
Aramaua,Aramaua,Arabia,Sinai and Nabataea,Skenitaia,Skenitaia,Arabia,Arabia,20,,Plateau,Hot Semi-arid,-1,2,No port,No,No,Yes,OK,"Farm2, plateau, hot_semi_arid",,,,,,,
,Zabram,Arabia,Hejaz,,Kinaidokolpitia,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Ikaros,Ikaros,Arabia,Gherran Coast,Ikaros,Ikaros,Arabia,Arabia,20,,Desert,Arid,0,3,Shipwright,No,Springs,No,OK,"Farm3, desert, arid, base_port_level_2, irrigation_springs",,,,,,,
Ausara,Ausara,Arabia,Hejaz,Notia_Lechienia,Notia_Lechienia,Arabia,Arabia,20,,Hills,Arid,-1,4,Trade Port,No,Oasis,No,OK,"Farm4, hills, arid, base_port_level_1, irrigation_oasis",,,,,,,
Mouza,Mouza,Arabia,Yemen,Notia_Elisaria,Mese_Elisaria,Arabia,Arabia,20,Name Change,Steppe,Hot Semi-arid,1,5,Dockyard,No,Aquifer,Yes,OK,"Farm5, steppe, hot_semi_arid, base_port_level_3, irrigation_aquifer",,,,,,,
Dioskoridous Kome,Dioskoridous Kome,Arabia,Hadhramaut,Dioskoridou_Nesos,Dioskoridou_Nesos,Arabia,Arabia,20,,Karst Terrain,Dry Sub-tropical,0,3,Trade Port,No,No,No,OK,"Farm3, karst_terrain, dry_sub_tropical, base_port_level_1",,,,,,,
Sabai-Chattenia,,,,Hesperos_Chattenia,,Arabia,,20,Missing in Alt,Desert,Arid,0,1,No port,No,No,No,OK,"Farm1, desert, arid",,,,,,,
Mariama,Mariama,Arabia,Yemen,Marda,Marda,Arabia,Arabia,20,,Hills,Hot Semi-arid,0,6,No port,No,Lake,No,OK,"Farm6, hills, hot_semi_arid, irrigation_lake",nerf if smaller dams are added as farming building,,,,,,
Marasdou,Marasdou,Arabia,Yemen,Ssirwakh,Ssirwakh,Arabia,Arabia,20,,Hills,Hot Semi-arid,0,4,No port,No,No,No,OK,"Farm4, hills, hot_semi_arid",,,,,,,
Thabba,Thabba,Arabia,Hadhramaut,Raybun,Raybun,Arabia,Arabia,20,,Plateau,Arid,1,3,No port,No,Aquifer,No,OK,"Farm3, plateau, arid, irrigation_aquifer",,,,,,,
Sarapias,Sarapias,Arabia,Oman,Sarapias,Sarapias,Arabia,Arabia,20,Last Cut,,,,,,,,,,#N/A,,,,,,,
Batrasauaue,Batrasauaue,Arabia,Oman,Notia_Omanitis,Notia_Omanitis,Arabia,Arabia,20,,Mountain Valley,Arid,1,5,No port,No,Aquifer,No,OK,"Farm5, mountain_valley, arid, irrigation_aquifer",,,,,,,
Arabias Emporion,Arabias Emporion,Arabia,Yemen,Eudaimon_Arabia,Eudaimon_Arabia,Arabia,Arabia,20,,Desert,Arid,1,2,Dockyard,No,No,No,OK,"Farm2, desert, arid, base_port_level_3",,,,,,,
Kane,Kane,Arabia,Hadhramaut,Adramitia,Anatolike_Adramitia,Arabia,Arabia,20,New Name Change,Hills,Hot Semi-arid,-1,5,Dockyard,No,River,No,OK,"Farm5, hills, hot_semi_arid, base_port_level_3, irrigation_river",,,,,,,
,Ausara Polis,Arabia,Hadhramaut,,Hesperos_Omana_Kolpos,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Okelis,Arabia,Yemen,,Notia_Elisaria,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Omanon Emporion,,,,Anatolike_Omanitis,,Arabia,,20,Missing in Alt,Desert,Arid,2,3,Trade Port,No,Aquifer,No,OK,"Farm3, desert, arid, base_port_level_1, irrigation_aquifer",,,,,,,
Labai,Labai,Arabia,Gherran Coast,Chattenia,Chattenia,Arabia,Arabia,20,,Desert,Arid,0,3,Trade Port,No,Oasis,No,OK,"Farm3, desert, arid, base_port_level_1, irrigation_oasis",,,,,,,
Athloula,Athloula,Arabia,Yemen,Yathil,Yathil,Arabia,Arabia,20,,Mountain Valley,Hot Semi-arid,0,5,No port,No,No,No,OK,"Farm5, mountain_valley, hot_semi_arid",,,,,,,
Sadasara,Sadasara,Arabia,Hadhramaut,Anatolike_Chatramonitaia,Anatolike_Chatramonitaia,Arabia,Arabia,20,,Desert,Arid,0,1,No port,No,No,No,OK,"Farm1, desert, arid",,,,,,,
Syagros,Syagros,Arabia,Hadhramaut,Sachalites_Kolpos,Sachalites_Kolpos,Arabia,Arabia,20,,Plateau,Hot Semi-arid,-1,2,Needs Harbour,No,No,No,OK,"Farm2, plateau, hot_semi_arid, base_port_level_0",,,,,,,
Karipeta,Karipeta,Arabia,Yemen,Haribut,Haribut,Arabia,Arabia,20,,Hills,Hot Semi-arid,-1,5,No port,No,River,No,OK,"Farm5, hills, hot_semi_arid, irrigation_river",,,,,,,
,Saraka,Arabia,Yemen,,Tarxat,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Iotabe,Arabia,Sinai and Nabataea,,Phokai,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Poseideion,Arabia,Sinai and Nabataea,,Arabios_Kolpos,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Nestos-Arabia,Nestos-Arabia,Arabia,Yemen,Nassan,Nassan,Arabia,Arabia,20,,Mountain Valley,Hot Semi-arid,-1,4,No port,No,No,No,OK,"Farm4, mountain_valley, hot_semi_arid",,,,,,,
Menambis,Menambis,Arabia,Yemen,Manahiytim,Manahiytim,Arabia,Arabia,20,,Mountains,Cold Semi-arid,0,4,No port,No,No,Yes,OK,"Farm4, mountains, cold_semi_arid",,,,,,,
,Miba,Arabia,Yemen,,Xamran,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Poudnou,Arabia,Hejaz,,Boreia_Elisaria,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Sakatia,Sakatia,Arabia,Yemen,Elisaria,Elisaria,Arabia,Arabia,20,,Steppe,Hot Semi-arid,0,6,Shipwright,No,River,Yes,OK,"Farm6, steppe, hot_semi_arid, base_port_level_2, irrigation_river",,,,,,,
,Ambe,Arabia,Hejaz,,Notia_Kassanitis,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Are,Are,Arabia,Yemen,Rhathenaia,Rhathenaia,Arabia,Arabia,20,Last Cut,,,,,,,,,,#N/A,,,,,,,
Themne,,,,Martenia-Orchenia,,Arabia,,20,Missing in Alt,Desert,Arid,0,1,No port,No,No,No,OK,"Farm1, desert, arid",,,,,,,
Barathena,,,,Agraia-Agubenia,,Arabia,,20,Missing in Alt,Desert,Arid,0,1,No port,No,No,No,OK,"Farm1, desert, arid",,,,,,,
,Kanipsa,Arabia,Oman,,Nareitaia,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Sarkoe,Arabia,Oman,,Attaia,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Mallaba,Arabia,Gherran Coast,,Leanitaia,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Koromanis,Koromanis,Arabia,Gherran Coast,Aboukaia-Leanitaia,Aboukaia-Leanitaia,Arabia,Arabia,20,,Desert,Arid,0,1,Trade Port,No,No,No,OK,"Farm1, desert, arid, base_port_level_1",,,,,,,
,Hierakon,Arabia,Hejaz,,Hierakon_Nesos,Arabia,Arabia,20,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Idikara,,,,Orchenia,,Arabia,,20,Last Cut,,,,,,,,,,#N/A,,,,,,,
Obaira,,,,Agubenia,,Arabia,,20,Last Cut,,,,,,,,,,#N/A,,,,,,,
CAUCASUS,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarapana,Sarapana,Caucasus,Armenia,Egritike,Egritike,Caucasus,Caucasus,21,,Plateau,Continental,1,5,No port,Yes,River,Yes,OK,"Farm5, plateau, continental, rivertrade, irrigation_river",,,,,,,
Harmozike-Seusamora,Harmozike-Seusamora,Caucasus,Armenia,Iberia,Iberia,Caucasus,Caucasus,21,,Mountain Valley,Temperate,0,7,No port,Yes,River,No,OK,"Farm7, mountain_valley, temperate, rivertrade, irrigation_river",,,,,,,
Chabala,Chabala,Caucasus,Armenia,Albania,Albania,Caucasus,Caucasus,21,,Mountain Valley,Continental,0,6,No port,No,River,Yes,OK,"Farm6, mountain_valley, continental, irrigation_river",,,,,,,
Armavir,Armavir,Caucasus,Armenia,Megale_Armenia,Megale_Armenia,Caucasus,Caucasus,21,,River Valley,Cold Semi-arid,0,10,No port,No,River,Yes,OK,"Farm10, river_valley, cold_semi_arid, irrigation_river",,,,,,,
Gazaka,Gazaka,Persia,West Persia,Pedias_Atropatene,Pedias_Atropatene,Caucasus,Persia,23,Wrong Area,Mountain Valley,Cold Semi-arid,0,7,No port,No,River,Yes,OK,"Farm7, mountain_valley, cold_semi_arid, irrigation_river",,,,,,,
Thospia,Thospia,Caucasus,Armenia,Basoropeda,Basoropeda,Caucasus,Caucasus,21,,Plateau,Continental,1,5,No port,No,River,Yes,OK,"Farm5, plateau, continental, irrigation_river",,,,,,,
Karkathiokerta,Karkathiokerta,Mesopotamia,Assyria,Sophene,Sophene,Caucasus,Mesopotamia,22,Wrong Area,Mountain Valley,Mediterranean,1,8,No port,No,River,Yes,OK,"Farm8, mountain_valley, mediterranean, irrigation_river",,,,,,,
Nymphaios,Nymphaios,Mesopotamia,Assyria,Kommagene,Kommagene,Caucasus,Mesopotamia,22,Wrong Area,Mountain Valley,Continental,0,6,No port,No,River,No,OK,"Farm6, mountain_valley, continental, irrigation_river",,,,,,,
Arsarata,Arsarata,Caucasus,Armenia,Kaspiane-Ouitia,Kaspiane,Caucasus,Caucasus,21,New Name Change,Floodplains/Delta,Cold Semi-arid,-2,10,Needs Harbour,Yes,River,No,OK,"Farm10, floodplains_delta, cold_semi_arid, base_port_level_0, rivertrade, irrigation_river",,,,,,,
Dioskourias,Dioskourias,Caucasus,Armenia,Koraxia,Koraxia,Caucasus,Caucasus,21,,Mountain Valley,Humid Sub-tropical,0,7,Dockyard,No,River,No,OK,"Farm7, mountain_valley, humid_sub_tropical, base_port_level_3, irrigation_river",,,,,,,
Doliche,Doliche,Levant,Syria,Dolicheia,Dolicheia,Caucasus,Levant,17,Wrong Area,Hills,Dry Sub-tropical,1,6,No port,No,No,No,OK,"Farm6, hills, dry_sub_tropical",,,,,,,
Sareisa-Satalka,Sareisa,Mesopotamia,Assyria,Gordyene,Gordyene,Caucasus,Mesopotamia,22,New Name Change,Mountains,Continental,0,4,No port,No,River,Yes,OK,"Farm4, mountains, continental, irrigation_river",,,,,,,
Gymnias,Gymnias,Caucasus,Armenia,Skythenia,Skythenia,Caucasus,Caucasus,21,,Plateau,Continental,0,4,No port,No,No,Yes,OK,"Farm4, plateau, continental",,,,,,,
Phasis,Phasis,Caucasus,Armenia,Phasis,Phasis,Caucasus,Caucasus,21,,Wetlands/Swamps/Marshes,Humid Sub-tropical,1,7,Shipwright,Yes,River,No,OK,"Farm7, wetlands, humid_sub_tropical, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Gorniai,,,,Lychnitis,,Caucasus,,21,Missing in Alt,Hills,Continental,0,5,No port,No,River,Yes,OK,"Farm5, hills, continental, irrigation_river",,,,,,,
Ouera,Ouera,Persia,West Persia,Tracheia_Atropatene,Tracheia_Atropatene,Caucasus,Persia,23,Wrong Area,Plateau,Cold Semi-arid,0,5,No port,No,River,Yes,OK,"Farm5, plateau, cold_semi_arid, irrigation_river",,,,,,,
Legaiopolis,Legaiopolis,Steppes,Aorsi and North caucaus,Legaia-Gelaia,Legaia,Caucasus,Steppes,15,New Name Change,Mountain Valley,Cold Semi-arid,-1,6,Trade Port,No,Springs,Yes,OK,"Farm6, mountain_valley, cold_semi_arid, base_port_level_1, irrigation_springs",,,,,,,
Sanaron Kome,Sanaron Kome,Steppes,Aorsi and North caucaus,Sanaraia,Sanaraia,Caucasus,Steppes,15,Wrong Area,Steppe,Continental,1,6,Needs Harbour,No,River,Yes,OK,"Farm6, steppe, continental, base_port_level_0, irrigation_river",,,,,,,
Didouron Kome,,,,Didouria-Touskia,,Caucasus,,21,Missing in Alt,Mountain Valley,Cold Semi-arid,0,7,Needs Harbour,No,Springs,Yes,OK,"Farm7, mountain_valley, cold_semi_arid, base_port_level_0, irrigation_springs",,,,,,,
Olane,Olane,Caucasus,Armenia,Ano_Araxes,Ano_Araxes,Caucasus,Caucasus,21,,River Valley,Continental,-2,7,No port,No,River,Yes,OK,"Farm7, river_valley, continental, irrigation_river",,,,,,,
,Seusamora,Caucasus,Armenia,,Aragos,Caucasus,Caucasus,21,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Pityous,Pityous,Caucasus,Armenia,Megas_Pityous,Megas_Pityous,Caucasus,Caucasus,21,,Karst Terrain,Humid Sub-tropical,0,4,Shipwright,No,River,No,OK,"Farm4, karst_terrain, humid_sub_tropical, base_port_level_2, irrigation_river",,,,,,,
Sourion,Sourion,Caucasus,Armenia,Notia_Kolchis,Notia_Kolchis,Caucasus,Caucasus,21,,Mountain Valley,Humid Sub-tropical,0,7,Trade Port,Yes,River,No,OK,"Farm7, mountain_valley, humid_sub_tropical, base_port_level_1, rivertrade, irrigation_river",,,,,,,
Tomisa,,,,,Hesperos_Sophene,Caucasus,,21,Missing in Alt,Mountain Valley,Continental,0,6,No port,No,River,Yes,OK,"Farm6, mountain_valley, continental, irrigation_river",,,,,,,
Pinaka,,,,,Notia_Gordyene,Caucasus,,21,Missing in Alt,Mountains,Continental,2,6,No port,No,River,Yes,OK,"Farm6, mountains, continental, irrigation_river",,,,,,,
Baraza,Baraza,Caucasus,Armenia,Chorzene,Chorzene,Caucasus,Caucasus,21,,Mountains,Continental,0,4,No port,No,No,Yes,OK,"Farm4, mountains, continental",,,,,,,
Tagada,Tagada,Caucasus,Armenia,Gogarene,Gogarene,Caucasus,Caucasus,21,Last Cut,,,,,,,,,,#N/A,,,,,,,
Seltia,,,,,Taronitis,Caucasus,,21,Missing in Alt,Plateau,Continental,2,6,No port,No,River,Yes,OK,"Farm6, plateau, continental, irrigation_river",,,,,,,
Iberopolis,,,,,Hesperos_Iberia,Caucasus,,21,Missing in Alt,Mountain Valley,Continental,1,7,No port,Yes,River,Yes,OK,"Farm7, mountain_valley, continental, rivertrade, irrigation_river",,,,,,,
Ptoua,,,,,Boreia_Lychnitis,Caucasus,,21,Missing in Alt,Mountains,Continental,0,4,No port,No,Lake,Yes,OK,"Farm4, mountains, continental, irrigation_lake",,,,,,,
Sakasenopolis,Sakasenopolis,Caucasus,Armenia,Sakasene,Sakasene,Caucasus,Caucasus,21,,Steppe,Cold Semi-arid,0,6,No port,No,River,Yes,OK,"Farm6, steppe, cold_semi_arid, irrigation_river",,,,,,,
Bakchia,Bakchia,Caucasus,Armenia,Kambysene-Gogarene,Kambysene,Caucasus,Caucasus,21,New Name Change,Plateau,Cold Semi-arid,1,6,No port,No,River,Yes,OK,"Farm6, plateau, cold_semi_arid, irrigation_river",,,,,,,
Kolchopolis,Kolchopolis,Caucasus,Armenia,Lazia,Lazia,Caucasus,Caucasus,21,,Floodplains/Delta,Humid Sub-tropical,-1,11,Needs Harbour,Yes,River,No,OK,"Farm11, floodplains_delta, humid_sub_tropical, base_port_level_0, rivertrade, irrigation_river",,,,,,,
Kytaia,Kytaia,Caucasus,Armenia,Kolchis,Kolchis,Caucasus,Caucasus,21,,Mountain Valley,Continental,1,7,No port,Yes,River,Yes,OK,"Farm7, mountain_valley, continental, rivertrade, irrigation_river",,,,,,,
Chadacha,,,,,Anatolike_Albania,Caucasus,,21,Missing in Alt,Hills,Cold Semi-arid,-1,5,Trade Port,No,Springs,Yes,OK,"Farm5, hills, cold_semi_arid, base_port_level_1, irrigation_springs",,,,,,,
,Gyenos,Caucasus,Armenia,,Gyenia,Caucasus,Caucasus,21,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Anzeta,Caucasus,Armenia,,Taronitis,Caucasus,Caucasus,21,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Zeugma-Kommagene,Zeugma-Kommagene,Mesopotamia,Assyria,Kato_Kommagene,Kato_Kommagene,Caucasus,Mesopotamia,22,Wrong Area,Mountain Valley,Dry Sub-tropical,1,8,No port,No,River,No,OK,"Farm8, mountain_valley, dry_sub_tropical, irrigation_river",,,,,,,
Artageira,,,,,Ano_Euphrates,Caucasus,,21,Missing in Alt,Karst Terrain,Continental,2,5,No port,No,River,Yes,OK,"Farm5, karst_terrain, continental, irrigation_river",,,,,,,
,Antiocheia-Tauros,Asia Minor,Cilicia,,Tauros,Caucasus,Asia Minor,16,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Achaia Kome,Achaia Kome,Steppes,Aorsi and North caucaus,Achaia-Kolchis,Achaia-Kolchis,Caucasus,Steppes,15,Last Cut,,,,,,,,,,#N/A,,,,,,,
Zygopolis,Zygopolis,Caucasus,Armenia,Zygia-Achaia,Zygia,Caucasus,Caucasus,21,New Name Change,Karst Terrain,Humid Sub-tropical,0,4,Trade Port,No,River,Yes,OK,"Farm4, karst_terrain, humid_sub_tropical, base_port_level_1, irrigation_river",,,,,,,
Heniochon Kome,Heniochon Kome,Caucasus,Armenia,Heniochia,Heniochia-Kerketaia,Caucasus,Caucasus,21,New Name Change,Mountains,Humid Sub-tropical,-1,4,Needs Harbour,No,No,Yes,OK,"Farm4, mountains, humid_sub_tropical, base_port_level_0",,,,,,,
Kerketon Kome,Kerketon Kome,Caucasus,Armenia,Kerketaia,Kerketaia,Caucasus,Caucasus,21,Last Cut,,,,,,,,,,#N/A,,,,,,,
Moschon Kome,Moschon Kome,Caucasus,Armenia,Moschia,Moschia,Caucasus,Caucasus,21,,Mountains,Alpine,1,3,No port,No,No,No,OK,"Farm3, mountains, alpine",,,,,,,
Naana,Naana,Caucasus,Armenia,Soanaia,Soanaia,Caucasus,Caucasus,21,,Mountains,Alpine,-1,1,No port,No,No,Yes,OK,"Farm1, mountains, alpine",,,,,,,
Makronopolis,Makronopolis,Asia Minor,Chaldea,Makronia,Makronia,Caucasus,Asia Minor,16,Wrong Area,Mountain Valley,Continental,-1,5,No port,No,River,Yes,OK,"Farm5, mountain_valley, continental, irrigation_river",,,,,,,
Drilaikon Phrourion,Drilaikon Phrourion,Asia Minor,Chaldea,Drilaia,Drilaia,Caucasus,Asia Minor,16,Wrong Area,Mountains,Continental,-1,3,No port,No,No,Yes,OK,"Farm3, mountains, continental",,,,,,,
Mossynoikon Metropolis,Mossynoikon Metropolis,Asia Minor,Chaldea,Mossynoikia,Mossynoikia,Caucasus,Asia Minor,16,Wrong Area,Mountains,Continental,0,4,No port,No,River,Yes,OK,"Farm4, mountains, continental, irrigation_river",,,,,,,
Tibarenikon Phrourion,Tibarenikon Phrourion,Asia Minor,Chaldea,Tibarenia,Tibarenia,Caucasus,Asia Minor,16,Wrong Area,Mountains,Continental,0,4,No port,No,No,Yes,OK,"Farm4, mountains, continental",,,,,,,
Taochikon Phrourion,Taochikon Phrourion,Caucasus,Armenia,Taochia,Taochia,Caucasus,Caucasus,21,,Plateau,Continental,0,4,No port,No,River,Yes,OK,"Farm4, plateau, continental, irrigation_river",,,,,,,
Chalybikon Phrourion,Chalybikon Phrourion,Caucasus,Armenia,Chalybia,Chalybia,Caucasus,Caucasus,21,,Mountains,Continental,-1,3,No port,No,No,Yes,OK,"Farm3, mountains, continental",,,,,,,
Chaldaikon Phrourion,Chaldaikon Phrourion,Asia Minor,Chaldea,Chaldaia-Pontos,Chaldaia-Pontos,Caucasus,Asia Minor,16,Wrong Area,Mountains,Continental,-1,3,No port,No,No,Yes,OK,"Farm3, mountains, continental",,,,,,,
,Amida,Mesopotamia,Assyria,,Notia_Sophene,Caucasus,Mesopotamia,22,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Gelon Kome,Gelon Kome,Caucasus,Armenia,Gelaia,Gelaia,Caucasus,Caucasus,21,Last Cut,,,,,,,,,,#N/A,,,,,,,
Ouiton Kome,Ouiton Kome,Caucasus,Armenia,Ouitia,Ouitia,Caucasus,Caucasus,21,Last Cut,,,,,,,,,,#N/A,,,,,,,
MESOPOTAMIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Edessa,Edessa,Mesopotamia,Assyria,Osrhoene,Osrhoene,Mesopotamia,Mesopotamia,22,,Hills,Mediterranean,1,7,No port,No,River,No,OK,"Farm7, hills, mediterranean, irrigation_river",,,,,,,
Antiocheia-Mygdonia,Antiocheia-Mygdonia,Mesopotamia,Assyria,Mygdonia-Syria,Mygdonia-Syria,Mesopotamia,Mesopotamia,22,,Steppe,Dry Sub-tropical,0,6,No port,No,River,No,OK,"Farm6, steppe, dry_sub_tropical, irrigation_river",,,,,,,
Arbela,Arbela,Mesopotamia,Assyria,Arbelitis,Arbelitis,Mesopotamia,Mesopotamia,22,,Mountain Valley,Continental,1,7,No port,No,River,Yes,OK,"Farm7, mountain_valley, continental, irrigation_river",,,,,,,
Doura-Europos,Doura-Europos,Mesopotamia,Northern Babylonia,Tingene,Tingene,Mesopotamia,Mesopotamia,22,,River Valley,Hot Semi-arid,-2,8,No port,Yes,River,No,OK,"Farm8, river_valley, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Seleucia,Seleucia,Mesopotamia,Northern Babylonia,Mesopotamia,Mesopotamia,Mesopotamia,Mesopotamia,22,,Floodplains/Delta,Hot Semi-arid,1,13,No port,Yes,River,No,OK,"Farm13, floodplains_delta, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Uruk,Uruk,Mesopotamia,South Babylonia,Orchoe,Orchoe,Mesopotamia,Mesopotamia,22,,Floodplains/Delta,Hot Semi-arid,2,14,No port,Yes,River,No,OK,"Farm14, floodplains_delta, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Alexandreia-Charax,Alexandreia-Charax,Mesopotamia,South Babylonia,Charakene,Charakene,Mesopotamia,Mesopotamia,22,,Wetlands/Swamps/Marshes,Hot Semi-arid,2,6,Dockyard,Yes,River,No,OK,"Farm6, wetlands, hot_semi_arid, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Susa,Susa,Persia,West Persia,Sousiane,Sousiane,Mesopotamia,Persia,23,Wrong Area,River Valley,Hot Semi-arid,1,11,No port,Yes,River,Yes,OK,"Farm11, river_valley, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Chala,Chala,Persia,West Persia,Kossaia,Kossaia,Mesopotamia,Persia,23,Wrong Area,Mountains,Temperate,0,5,No port,No,River,Yes,OK,"Farm5, mountains, temperate, irrigation_river",,,,,,,
Babylon,Babylon,Mesopotamia,South Babylonia,Babylonia,Babylonia,Mesopotamia,Mesopotamia,22,,Floodplains/Delta,Hot Semi-arid,2,14,No port,Yes,River,No,OK,"Farm14, floodplains_delta, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Nikephorion,Nikephorion,Levant,Syria,Nikephoreia,Nikephoreia,Mesopotamia,Levant,17,Wrong Area,River Valley,Hot Semi-arid,-1,9,No port,Yes,River,No,OK,"Farm9, river_valley, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Hierapolis,Hierapolis,Levant,Syria,Bambyke,Bambyke,Mesopotamia,Levant,17,Wrong Area,River Valley,Dry Sub-tropical,0,10,No port,No,River,No,OK,"Farm10, river_valley, dry_sub_tropical, irrigation_river",,,,,,,
Apameia-Sittakene,Apameia-Sittakene,Mesopotamia,South Babylonia,Sittakene,Sittakene,Mesopotamia,Mesopotamia,22,,Wetlands/Swamps/Marshes,Hot Semi-arid,2,6,No port,Yes,River,No,OK,"Farm6, wetlands, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Artemita,Artemita,Mesopotamia,Northern Babylonia,Apolloniatis-Mesopotamia,Apolloniatis-Mesopotamia,Mesopotamia,Mesopotamia,22,,River Valley,Hot Semi-arid,1,11,No port,Yes,River,No,OK,"Farm11, river_valley, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Apameia-Zeugma,Apameia-Zeugma,Levant,Syria,Zeugma-Euphrates,Zeugma-Euphrates,Mesopotamia,Levant,17,Wrong Area,Hills,Mediterranean,0,6,No port,No,River,No,OK,"Farm6, hills, mediterranean, irrigation_river",,,,,,,
Arrhapa,,,,Arrhapachitis,,Mesopotamia,,23,Missing in Alt,Steppe,Dry Sub-tropical,0,6,No port,No,Springs,No,OK,"Farm6, steppe, dry_sub_tropical, irrigation_springs",,,,,,,
Seleukeia-Soloke,Seleukeia-Soloke,Persia,Central Persia,Elymais,Elymais,Mesopotamia,Persia,23,Wrong Area,Steppe,Hot Semi-arid,2,6,Trade Port,Yes,Aquifer,Yes,OK,"Farm6, steppe, hot_semi_arid, base_port_level_1, rivertrade, irrigation_aquifer",,,,,,,
Assur,Assur,Mesopotamia,Assyria,Assyria,Assyria,Mesopotamia,Mesopotamia,22,,Floodplains/Delta,Hot Semi-arid,-1,11,No port,Yes,River,No,OK,"Farm11, floodplains_delta, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Nippur,Nippur,Mesopotamia,South Babylonia,Nippour,Nippour,Mesopotamia,Mesopotamia,22,,Floodplains/Delta,Hot Semi-arid,1,13,No port,Yes,River,No,OK,"Farm13, floodplains_delta, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Is,,,,Ankobaritis,,Mesopotamia,,23,Missing in Alt,Steppe,Hot Semi-arid,1,7,No port,Yes,River,No,OK,"Farm7, steppe, hot_semi_arid, rivertrade, irrigation_river",,,,,,,
Birtha,,,,Mesene,,Mesopotamia,,23,Last Cut,,,,,,,,,,#N/A,,,,,,,
